AttackID	WeaponType	AttackType	Input	Damage	HitStopFrame	KnockBackPower	CoolTime	ComboNextTime	Range	Radius	Comment
Sword_Normal	Sword	Normal	B	10	4	8	20	15	80	20	Swordの通常攻撃
Sword_Combo	Sword	Combo	B連打	14	5	10	24	18	85	22	Swordの連続攻撃
Sword_Charge	Sword	Charge	B長押し	30	8	18	45	0	100	28	Swordのチャージ攻撃
Sword_Air	Sword	Air	Bジャンプ中	12	4	10	25	0	75	22	Swordの空中攻撃
Sword_AirRelay	Sword	AirRelay	LTジャンプ中	16	5	12	30	0	80	24	Swordの中継コンボ
Hammer_Normal	Hammer	Normal	B	14	5	12	28	18	90	28	Hammerの通常攻撃
Hammer_Combo	Hammer	Combo	B連打	18	6	15	35	20	95	30	Hammerの連続攻撃
Hammer_Charge	Hammer	Charge	B長押し	45	10	25	60	0	110	38	Hammerのチャージ攻撃
Hammer_Air	Hammer	Air	Bジャンプ中	20	6	18	40	0	90	32	Hammerの空中攻撃
Hammer_Heavy	Hammer	Heavy	X通常攻撃後	35	9	22	55	0	105	36	Hammerの強攻撃
Wand_Normal	Wand	Normal	B	8	3	6	22	14	120	18	Wandの通常攻撃
Wand_Combo	Wand	Combo	B連打	11	3	7	26	16	130	20	Wandのコンボ攻撃
Wand_AirMagic	Wand	AirMagic	Bジャンプ中	13	4	8	30	0	140	22	Wandの空中魔法
Wand_LaserMagic	Wand	LaserMagic	RBチャージ中	4	1	3	5	0	260	16	Wandのレーザー魔法。多段前提
Wand_HealMagic	Wand	HealMagic	RT	-30	0	0	90	0	160	60	Wandの回復魔法。回復量は負数で管理する案
TwinGun_Normal	TwinGun	Normal	B	7	2	5	12	8	180	14	TwinGunの通常攻撃
TwinGun_Combo	TwinGun	Combo	B連打	9	2	6	14	9	180	14	TwinGunの連続攻撃
TwinGun_Charge	TwinGun	Charge	B長押し	22	5	12	40	0	220	18	TwinGunのチャージ攻撃
TwinGun_Air	TwinGun	Air	Bジャンプ中	10	3	7	22	0	180	16	TwinGunの空中攻撃
TwinGun_Heavy	TwinGun	Heavy	X通常攻撃後	20	5	12	35	0	200	18	TwinGunの強攻撃
